"","EMP","FMWT","STN"
"1995",358,0,0
"1996",370,0,0
"1997",370,0,0
"1998",432,0,0
"1999",412,0,0
"2000",410,0,0
"2001",390,0,0
"2002",406,0,0
"2003",412,0,0
"2004",440,0,0
"2005",462,52,354
"2006",478,104,358
"2007",446,36,360
"2008",456,30,348
"2009",446,0,370
"2010",456,20,370
"2011",466,252,466
"2012",440,248,472
"2013",436,254,472
"2014",456,248,462
"2015",436,246,474
"2016",452,250,468
"2017",464,252,448
"2018",454,272,556
"2019",456,278,534
"2020",362,264,464
"2021",392,62,504
